CATEGORIA,SUBCATEGORIA,Ano,Producao,Comercio
DERIVADOS,Base Champenoise champanha,2019,274903,0
DERIVADOS,Base Charmat champanha,2019,1188095,0
DERIVADOS,Bebida de uva,2019,0,0
DERIVADOS,Polpa de uva,2019,1480269,0
DERIVADOS,Mosto simples,2019,135614344,0
DERIVADOS,Mosto concentrado,2019,0,0
DERIVADOS,Mosto de uva com bagaço,2019,645816,0
DERIVADOS,Mosto dessulfitado,2019,1000,0
DERIVADOS,Mistelas,2019,3000,0
DERIVADOS,Néctar de uva,2019,32519,0
DERIVADOS,Licorosos,2019,0,0
DERIVADOS,Compostos,2019,0,0
DERIVADOS,Jeropiga,2019,0,0
DERIVADOS,Filtrado,2019,0,0
DERIVADOS,Frisante,2019,0,0
DERIVADOS,Vinho leve,2019,0,0
DERIVADOS,Vinho licoroso,2019,99485,0
DERIVADOS,Brandy,2019,0,0
DERIVADOS,Destilado,2019,0,0
DERIVADOS,Bagaceira,2019,10495,0
DERIVADOS,Licor de bagaceira,2019,1507,0
DERIVADOS,Vinagre,2019,76096,0
DERIVADOS,Borra líquida,2019,901431,0
DERIVADOS,Borra seca,2019,25996,0
DERIVADOS,Vinho Composto,2019,0,0
DERIVADOS,Pisco,2019,3372,0
DERIVADOS,Vinho orgânico,2019,0,0
DERIVADOS,Espumante orgânico,2019,0,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2019,0,0
DERIVADOS,Vinho acidificado,2019,0,0
DERIVADOS,Mosto parcialmente fermentado,2019,0,0
DERIVADOS,Outros derivados,2019,0,0
VINHO DE MESA,VINHO DE MESA,2020,124200414,215557931
VINHO DE MESA,Tinto,2020,103916391,189573423
VINHO DE MESA,Branco,2020,19568734,24589607
VINHO DE MESA,Rosado,2020,715289,1394901
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2020,32516686,0
VINHO FINO DE MESA,Tinto,2020,15451883,0
