id_Comercio,control_Comercio,Produto,Ano,Quantidade_Comercio,Categoria,Subcategoria,id_Producao,control_Producao,produto,Quantidade_Producao
38.0,ou_Brandy,  Brandy (conhaque),2010,6448.0,Outros Produtos Comercializados,Brandy (conhaque),,,,0.0
39.0,ou_Cooler,  Cooler,2010,4674272.0,Outros Produtos Comercializados,Cooler,,,,0.0
40.0,ou_Coquetel,  Coquetel com vinho,2010,977962.0,Outros Produtos Comercializados,Coquetel com vinho,,,,0.0
41.0,ou_Destilado,  Destilado de vinho,2010,31814.0,Outros Produtos Comercializados,Destilado de vinho,,,,0.0
42.0,ou_Filtrado_doce,  Filtrado doce,2010,6611313.0,Outros Produtos Comercializados,Filtrado doce,,,,0.0
43.0,ou_Jeropiga,  Jeropiga,2010,37310.0,Outros Produtos Comercializados,Jeropiga,,,,0.0
44.0,ou_Mistelas,  Mistelas,2010,26577.0,Outros Produtos Comercializados,Mistelas,,,,0.0
45.0,ou_Mosto_concentrado,  Mosto concentrado,2010,0.0,Outros Produtos Comercializados,Mosto concentrado,,,,0.0
46.0,ou_Mosto_uva,  Mosto de uva,2010,12438.0,Outros Produtos Comercializados,Mosto de uva,,,,0.0
47.0,ou_Mosto_sulfitado,  Mosto sulfitado,2010,0.0,Outros Produtos Comercializados,Mosto sulfitado,,,,0.0
48.0,ou_Nectar,  Nectar de uva,2010,5397459.0,Outros Produtos Comercializados,Nectar de uva,,,,0.0
49.0,ou_Outros_produtos,  Outros produtos,2010,284824.0,Outros Produtos Comercializados,Outros produtos,,,,0.0
27.0,ou_Outros vinhos (sem informdetalhada,  Outros vinhos (sem informação detalhada),2010,0.0,Outros Produtos Comercializados,Outros vinhos (sem informação detalhada),,,,0.0
50.0,ou_Polpa,  Polpa de uva,2010,2774322.0,Outros Produtos Comercializados,Polpa de uva,,,,0.0
51.0,ou_Preparado_líquido,  Preparado líquido para refresco,2010,377010.0,Outros Produtos Comercializados,Preparado líquido para refresco,,,,0.0
52.0,ou_Refrigerante,  Refrigerante +50% suco,2010,0.0,Outros Produtos Comercializados,Refrigerante +50% suco,,,,0.0
53.0,ou_Sangria,  Sangria,2010,172214.0,Outros Produtos Comercializados,Sangria,,,,0.0
54.0,ou_Vinagre_balsamico,  Vinagre balsamico,2010,67502.0,Outros Produtos Comercializados,Vinagre balsamico,,,,0.0
55.0,ou_Vinagre_duplo,  Vinagre duplo,2010,912242.0,Outros Produtos Comercializados,Vinagre duplo,,,,0.0
56.0,ou_Vinagre_simples,  Vinagre simples,2010,3336175.0,Outros Produtos Comercializados,Vinagre simples,,,,0.0
57.0,ou_Vinho_acetificado,  Vinho acetificado,2010,1123858.0,Outros Produtos Comercializados,Vinho acetificado,,,,0.0
58.0,ou_Vinho_base,  Vinho base para espumantes,2010,0.0,Outros Produtos Comercializados,Vinho base para espumantes,,,,0.0
59.0,ou_Vinho_composto,  Vinho composto,2010,661586.0,Outros Produtos Comercializados,Vinho composto,,,,0.0
62.0,ou_Vinho_gaseificado,  Vinho gaseificado,2010,0.0,Outros Produtos Comercializados,Vinho gaseificado,,,,0.0
61.0,ou_Vinho_leve,  Vinho leve,2010,0.0,Outros Produtos Comercializados,Vinho leve,,,,0.0
60.0,ou_Vinho_licoroso,  Vinho licoroso,2010,638487.0,Outros Produtos Comercializados,Vinho licoroso,,,,0.0
,,,2010,0.0,Suco,Suco de uva adoçado,12.0,su_Suco de uva adoçado,Suco de uva adoçado,0.0
,,,2010,0.0,Suco,Suco de uva concentrado,11.0,su_Suco concentrado,Suco de uva concentrado,23238685.0
,,,2010,0.0,Suco,Suco de uva integral,10.0,su_Suco de uva simples,Suco de uva integral,26887259.0
,,,2010,0.0,Suco,Suco de uva orgânico,13.0,su_Suco de uva orgânico,Suco de uva orgânico,0.0
,,,2010,0.0,Suco,Suco de uva reconstituído,14.0,su_Suco de uva reconstituído,Suco de uva reconstituído,0.0
24.0,su_Outros_sucos,  Outros sucos de uvas,2010,0.0,Suco De Uvas,Outros sucos de uvas,,,,0.0
21.0,su_Suco_Adoçado,  Suco Adoçado,2010,0.0,Suco De Uvas,Suco Adoçado,,,,0.0
20.0,su_Suco_Natural,  Suco Natural Integral,2010,0.0,Suco De Uvas,Suco Natural Integral,,,,0.0
23.0,su_Suco_Orgânico,  Suco Orgânico,2010,0.0,Suco De Uvas,Suco Orgânico,,,,0.0
22.0,su_Suco_Reprocessado,  Suco Reprocessado/reconstituido,2010,0.0,Suco De Uvas,Suco Reprocessado/reconstituido,,,,0.0
8.0,vm_Branco,  Branco,2010,5968959.0,Vinho  Fino De Mesa,Branco,,,,0.0
7.0,vm_Rosado,  Rosado,2010,236802.0,Vinho  Fino De Mesa,Rosado,,,,0.0
