Id,País,2009_Quantidade,2009_Valor,2010_Quantidade,2010_Valor,2011_Quantidade,2011_Valor,2012_Quantidade,2012_Valor,2013_Quantidade,2013_Valor,2014_Quantidade,2014_Valor,2015_Quantidade,2015_Valor,2016_Quantidade,2016_Valor,2017_Quantidade,2017_Valor,2018_Quantidade,2018_Valor,2019_Quantidade,2019_Valor,2020_Quantidade,2020_Valor,2021_Quantidade,2021_Valor,2022_Quantidade,2022_Valor,2023_Quantidade,2023_Valor,Categoria
93,Suriname,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,88.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,880.0,4202.0,0.0,0.0,0,0,Espumante
94,Tailândia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,169.0,16.0,287.0,22.0,142.0,17.0,107.0,7,43,Espumante
95,Taiwan (Formosa),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2706.0,13484.0,1507.0,6574.0,0.0,0.0,5.0,6.0,995.0,4212.0,1255.0,5578.0,901.0,4141.0,1099,3664,Espumante
96,"Tcheca, República",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167,1236,Espumante
97,Trinidade e Tobago,0.0,0.0,18.0,20.0,0.0,0.0,383.0,1785.0,0.0,0.0,315.0,1470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
98,Turquia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,18.0,75.0,74.0,258.0,2.0,17.0,6930,26566,Espumante
99,Uruguai,0.0,0.0,472.0,21325.0,0.0,0.0,0.0,0.0,22717.0,82754.0,34463.0,128510.0,19574.0,74551.0,7656.0,28085.0,13237.0,48581.0,9265.0,34039.0,2808.0,15045.0,1796.0,15322.0,0.0,0.0,10200.0,87895.0,2812,14352,Espumante
100,Vanuatu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,31.0,0.0,0.0,0.0,0.0,0,0,Espumante
101,Venezuela,0.0,0.0,0.0,0.0,0.0,0.0,1470.0,10065.0,0.0,0.0,2.0,46.0,0.0,0.0,16.0,13.0,455.0,2205.0,5.0,10.0,450.0,2670.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
102,Vietnã,675.0,1768.0,189.0,651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,374.0,16.0,19.0,0,0,Espumante
103,Outros(1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Espumante
1,África do Sul,0.0,0.0,0.0,0.0,0.0,0.0,3739.0,6324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34344.0,49753.0,0,0,Suco
2,"Alemanha, República Democrática da",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,38480.0,23268.0,6.0,6.0,0.0,0.0,0.0,0.0,96.0,91.0,12.0,24.0,86.0,44.0,13.0,4.0,5.0,24.0,33,39,Suco
3,Angola,237494.0,191270.0,6413.0,8108.0,0.0,0.0,0.0,0.0,5001.0,21599.0,1200.0,2880.0,1378.0,1739.0,5961.0,10771.0,160.0,1185.0,1895.0,1553.0,0.0,0.0,17766.0,21627.0,6073.0,5915.0,86536.0,91839.0,55683,68724,Suco
4,Antígua e Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,53.0,95.0,99.0,36.0,25.0,120.0,168.0,48.0,57.0,0,0,Suco
5,Antilhas Holandesas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Suco
6,Arábia Saudita,48760.0,124520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Suco
7,Argélia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Suco
8,Argentina,1260.0,6979.0,840.0,5315.0,14235.0,131312.0,2505.0,34018.0,0.0,0.0,250.0,775.0,800.0,5992.0,1270.0,9414.0,780.0,5843.0,795.0,3458.0,3504.0,3327.0,5140.0,8209.0,7325.0,12515.0,1060.0,4845.0,795,3808,Suco
9,Aruba,5008.0,3270.0,1878.0,1143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,788.0,0.0,0.0,0.0,0.0,0,0,Suco
10,Austrália,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,636.0,799.0,1887.0,800.0,3047.0,580.0,2193.0,480.0,1664.0,1638.0,3939.0,43971.0,67168.0,15499.0,34539.0,9228,20692,Suco
11,Áustria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Suco
12,Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,168.0,169.0,34.0,41.0,542.0,662.0,1374.0,2511.0,463,674,Suco
13,Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,68.0,302,352,Suco
14,Barbados,2806.0,2314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,192.0,153.0,362.0,187,545,Suco
15,Barein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0,0,0,Suco
16,Bélgica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,54.0,24.0,19.0,117.0,196.0,0.0,0.0,3210.0,7586.0,27,67,Suco
17,Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,333.0,0,0,Suco
18,Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Suco
19,Bermudas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,27.0,0.0,0.0,0.0,0.0,0,0,Suco
20,Birmânia,0.0,0.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Suco
21,Bolívia,0.0,0.0,539.0,910.0,3375.0,8958.0,4468.0,11723.0,3003.0,8238.0,3414.0,7448.0,9867.0,21856.0,7755.0,14917.0,11797.0,26003.0,612.0,1207.0,0.0,0.0,21435.0,26745.0,15700.0,19860.0,22695.0,29041.0,22246,31793,Suco
22,Cabo Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,330.0,180.0,330.0,126.0,236.0,270.0,224.0,0.0,0.0,0.0,0.0,90,170,Suco
23,Camarões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1159.0,2441.0,0.0,0.0,0.0,0.0,20.0,29.0,0.0,0.0,0.0,0.0,0,0,Suco
24,Canadá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,115.0,0.0,0.0,0.0,0.0,2355.0,5377.0,9486.0,11200.0,0.0,0.0,14943.0,19320.0,4476.0,5709.0,43210.0,105551.0,29504,72670,Suco
25,Catar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,47.0,0.0,0.0,0.0,0.0,1,8,Suco
26,"Cayman, Ilhas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,445.0,0,0,Suco
